phi     U      lambda   a
1550    0.32    4550    1.5
1700    0.29    4700    3
2050    0.47    5150    5
2100    0.58    5200    6
2150    0.67    5300    7
2200    0.76    5370    7.5
2250    0.85    5430    8
2300    1.15    5500    10
2350    1.07    5600    12
2400    1.25    5700    14
2450    1.28    5800    14.5
2500    1.31    5900    15
2550    1.47    6000    16.5
2600    1.66    6100    18
2650    1.80    6200    19
2700    2.0     6300    20
2750    2.27    6450    22
2800    2.63    6600    24
2850    2.80    6750    25.5
2900    3.01    6900    27
2950    3.33    7100    28.5
3000    3.42    7300    30
3050    3.56    7500    31.5
3100    3.67    7700    33
3150    3.70    7950    35
3200    3.4     8200    37.5
3250    2.83    8450    39
3300    2.16    8750    41
