phi    U         lambda  a
2050   0.57      5150    5
2100   0.57      5200    6
2200   0.55      5370    7.5
2300   0.55      5500    10
2400   0.55      5700    14
2500   0.54      5900    15
2700   0.56      6300    20
2800   0.57      6600    24
2900   0.6       6900    27
3000   0.68      7300    30
3100   1.21      7700    34
3150   1.24      7950    35
3200   1.3       8200    37.5
3250   1.34      8450    39
3300   1.45      8750    41
3350   1.55      9000    43   
3400   1.57      9400    45   
3450   1.48      9650    47   
3500   1.23      9950    48   
